timestamp,date,blood_pressure,label
1610638001.185043,2021-01-14T15:26:41.185043Z,102,other
1610638001.2000434,2021-01-14T15:26:41.200043Z,115,other
1610638001.2150435,2021-01-14T15:26:41.215044Z,125,other
1610638001.2300436,2021-01-14T15:26:41.230044Z,135,other
1610638001.2450438,2021-01-14T15:26:41.245044Z,144,other
1610638001.260044,2021-01-14T15:26:41.260044Z,151,other
1610638001.275044,2021-01-14T15:26:41.275044Z,158,other
1610638001.290044,2021-01-14T15:26:41.290044Z,163,other
1610638001.3050442,2021-01-14T15:26:41.305044Z,167,other
1610638001.3200445,2021-01-14T15:26:41.320044Z,170,other
1610638001.3350444,2021-01-14T15:26:41.335044Z,172,other
1610638001.3500445,2021-01-14T15:26:41.350044Z,173,other
1610638001.3650446,2021-01-14T15:26:41.365045Z,173,other
1610638001.3800447,2021-01-14T15:26:41.380045Z,173,other
1610638001.3950448,2021-01-14T15:26:41.395045Z,173,other
1610638001.410045,2021-01-14T15:26:41.410045Z,172,other
1610638001.425045,2021-01-14T15:26:41.425045Z,171,other
1610638001.440045,2021-01-14T15:26:41.440045Z,171,other
1610638001.4550452,2021-01-14T15:26:41.455045Z,170,other
1610638001.470045,2021-01-14T15:26:41.470045Z,168,other
1610638001.4850454,2021-01-14T15:26:41.485045Z,167,other
1610638001.5000455,2021-01-14T15:26:41.500046Z,165,other
1610638001.5150456,2021-01-14T15:26:41.515046Z,163,other
1610638001.5300455,2021-01-14T15:26:41.530046Z,161,other
1610638001.545046,2021-01-14T15:26:41.545046Z,158,other
1610638001.560046,2021-01-14T15:26:41.560046Z,155,other
1610638001.575046,2021-01-14T15:26:41.575046Z,152,other
1610638001.5900462,2021-01-14T15:26:41.590046Z,148,other
1610638001.6050465,2021-01-14T15:26:41.605046Z,143,other
1610638001.6200464,2021-01-14T15:26:41.620046Z,139,other
1610638001.6350465,2021-01-14T15:26:41.635046Z,134,other
1610638001.6500466,2021-01-14T15:26:41.650047Z,130,other
1610638001.6650467,2021-01-14T15:26:41.665047Z,125,other
1610638001.6800468,2021-01-14T15:26:41.680047Z,122,other
1610638001.695047,2021-01-14T15:26:41.695047Z,118,other
1610638001.710047,2021-01-14T15:26:41.710047Z,113,other
1610638001.725047,2021-01-14T15:26:41.725047Z,110,other
1610638001.7400472,2021-01-14T15:26:41.740047Z,106,other
1610638001.755047,2021-01-14T15:26:41.755047Z,104,other
1610638001.7700474,2021-01-14T15:26:41.770047Z,104,other
1610638001.7850475,2021-01-14T15:26:41.785048Z,106,other
1610638001.8000476,2021-01-14T15:26:41.800048Z,112,other
1610638001.8150475,2021-01-14T15:26:41.815048Z,121,other
1610638001.8300478,2021-01-14T15:26:41.830048Z,131,other
1610638001.845048,2021-01-14T15:26:41.845048Z,144,other
1610638001.860048,2021-01-14T15:26:41.860048Z,156,other
1610638001.8750482,2021-01-14T15:26:41.875048Z,168,other
1610638001.8900485,2021-01-14T15:26:41.890048Z,178,other
1610638001.9050484,2021-01-14T15:26:41.905048Z,186,other
1610638001.9200485,2021-01-14T15:26:41.920048Z,192,other
1610638001.9350486,2021-01-14T15:26:41.935049Z,196,other
1610638001.9500487,2021-01-14T15:26:41.950049Z,198,other
1610638001.9650488,2021-01-14T15:26:41.965049Z,198,other
1610638001.980049,2021-01-14T15:26:41.980049Z,197,other
1610638001.995049,2021-01-14T15:26:41.995049Z,194,other
1610638002.010049,2021-01-14T15:26:42.010049Z,189,other
1610638002.0250492,2021-01-14T15:26:42.025049Z,184,other
1610638002.0400493,2021-01-14T15:26:42.040049Z,177,other
1610638002.0550494,2021-01-14T15:26:42.055049Z,171,other
1610638002.0700495,2021-01-14T15:26:42.070050Z,164,other
1610638002.0850496,2021-01-14T15:26:42.085050Z,158,other
1610638002.1000495,2021-01-14T15:26:42.100050Z,152,other
1610638002.1150498,2021-01-14T15:26:42.115050Z,147,other
1610638002.13005,2021-01-14T15:26:42.130050Z,141,other
1610638002.14505,2021-01-14T15:26:42.145050Z,136,other
1610638002.1600502,2021-01-14T15:26:42.160050Z,131,other
1610638002.1750505,2021-01-14T15:26:42.175050Z,127,other
1610638002.1900504,2021-01-14T15:26:42.190050Z,123,other
1610638002.2050505,2021-01-14T15:26:42.205050Z,119,other
1610638002.2200506,2021-01-14T15:26:42.220051Z,114,other
1610638002.235051,2021-01-14T15:26:42.235051Z,110,other
1610638002.2500508,2021-01-14T15:26:42.250051Z,105,other
1610638002.265051,2021-01-14T15:26:42.265051Z,101,other
1610638002.280051,2021-01-14T15:26:42.280051Z,98,other
1610638002.295051,2021-01-14T15:26:42.295051Z,94,other
1610638002.3100512,2021-01-14T15:26:42.310051Z,90,other
1610638002.3250513,2021-01-14T15:26:42.325051Z,87,other
1610638002.3400514,2021-01-14T15:26:42.340051Z,84,other
1610638002.3550515,2021-01-14T15:26:42.355052Z,82,other
1610638002.3700516,2021-01-14T15:26:42.370052Z,80,other
1610638002.3850515,2021-01-14T15:26:42.385052Z,78,other
1610638002.4000518,2021-01-14T15:26:42.400052Z,76,other
1610638002.415052,2021-01-14T15:26:42.415052Z,76,other
1610638002.430052,2021-01-14T15:26:42.430052Z,76,other
1610638002.445052,2021-01-14T15:26:42.445052Z,80,other
1610638002.4600525,2021-01-14T15:26:42.460052Z,86,other
1610638002.4750524,2021-01-14T15:26:42.475052Z,96,other
1610638002.4900525,2021-01-14T15:26:42.490052Z,108,other
1610638002.5050526,2021-01-14T15:26:42.505053Z,121,other
1610638002.520053,2021-01-14T15:26:42.520053Z,133,other
1610638002.5350528,2021-01-14T15:26:42.535053Z,145,other
1610638002.550053,2021-01-14T15:26:42.550053Z,155,other
1610638002.565053,2021-01-14T15:26:42.565053Z,163,other
1610638002.580053,2021-01-14T15:26:42.580053Z,168,other
1610638002.5950532,2021-01-14T15:26:42.595053Z,172,other
